"MSN","YYYYMM","Value","Column_Order","Description","Unit"
"ARICPUS","194913","156.679","1","Asphalt and Road Oil Consumed by the Industrial Sector","Thousand Barrels per Day"
"ARICPUS","195013","179.655","1","Asphalt and Road Oil Consumed by the Industrial Sector","Thousand Barrels per Day"
"ARICPUS","195113","198.011","1","Asphalt and Road Oil Consumed by the Industrial Sector","Thousand Barrels per Day"
"ARICPUS","195213","212.989","1","Asphalt and Road Oil Consumed by the Industrial Sector","Thousand Barrels per Day"
"ARICPUS","195313","215.94","1","Asphalt and Road Oil Consumed by the Industrial Sector","Thousand Barrels per Day"
"ARICPUS","195413","229.57","1","Asphalt and Road Oil Consumed by the Industrial Sector","Thousand Barrels per Day"
"ARICPUS","195513","253.814","1","Asphalt and Road Oil Consumed by the Industrial Sector","Thousand Barrels per Day"
"ARICPUS","195613","271.675","1","Asphalt and Road Oil Consumed by the Industrial Sector","Thousand Barrels per Day"
"ARICPUS","195713","263.277","1","Asphalt and Road Oil Consumed by the Industrial Sector","Thousand Barrels per Day"
"ARICPUS","195813","280.26","1","Asphalt and Road Oil Consumed by the Industrial Sector","Thousand Barrels per Day"
"ARICPUS","195913","297.652","1","Asphalt and Road Oil Consumed by the Industrial Sector","Thousand Barrels per Day"
"ARICPUS","196013","302.12","1","Asphalt and Road Oil Consumed by the Industrial Sector","Thousand Barrels per Day"
"ARICPUS","196113","311.11","1","Asphalt and Road Oil Consumed by the Industrial Sector","Thousand Barrels per Day"
"ARICPUS","196213","331.745","1","Asphalt and Road Oil Consumed by the Industrial Sector","Thousand Barrels per Day"
"ARICPUS","196313","340.46","1","Asphalt and Road Oil Consumed by the Industrial Sector","Thousand Barrels per Day"
"ARICPUS","196413","346.175","1","Asphalt and Road Oil Consumed by the Industrial Sector","Thousand Barrels per Day"
"ARICPUS","196513","367.553","1","Asphalt and Road Oil Consumed by the Industrial Sector","Thousand Barrels per Day"
"ARICPUS","196613","386.252","1","Asphalt and Road Oil Consumed by the Industrial Sector","Thousand Barrels per Day"
"ARICPUS","196713","378.679","1","Asphalt and Road Oil Consumed by the Industrial Sector","Thousand Barrels per Day"
