"MSN","YYYYMM","Value","Column_Order","Description","Unit"
"AVACPUS","194913","93.129","1","Aviation Gasoline Consumed by the Transportation Sector","Thousand Barrels per Day"
"AVACPUS","195013","108.266","1","Aviation Gasoline Consumed by the Transportation Sector","Thousand Barrels per Day"
"AVACPUS","195113","145.071","1","Aviation Gasoline Consumed by the Transportation Sector","Thousand Barrels per Day"
"AVACPUS","195213","169.391","1","Aviation Gasoline Consumed by the Transportation Sector","Thousand Barrels per Day"
"AVACPUS","195313","193.732","1","Aviation Gasoline Consumed by the Transportation Sector","Thousand Barrels per Day"
"AVACPUS","195413","177.995","1","Aviation Gasoline Consumed by the Transportation Sector","Thousand Barrels per Day"
"AVACPUS","195513","192.167","1","Aviation Gasoline Consumed by the Transportation Sector","Thousand Barrels per Day"
"AVACPUS","195613","203.833","1","Aviation Gasoline Consumed by the Transportation Sector","Thousand Barrels per Day"
"AVACPUS","195713","201.14","1","Aviation Gasoline Consumed by the Transportation Sector","Thousand Barrels per Day"
"AVACPUS","195813","223.249","1","Aviation Gasoline Consumed by the Transportation Sector","Thousand Barrels per Day"
"AVACPUS","195913","209.384","1","Aviation Gasoline Consumed by the Transportation Sector","Thousand Barrels per Day"
"AVACPUS","196013","161.24","1","Aviation Gasoline Consumed by the Transportation Sector","Thousand Barrels per Day"
"AVACPUS","196113","157.608","1","Aviation Gasoline Consumed by the Transportation Sector","Thousand Barrels per Day"
"AVACPUS","196213","142.693","1","Aviation Gasoline Consumed by the Transportation Sector","Thousand Barrels per Day"
"AVACPUS","196313","137.416","1","Aviation Gasoline Consumed by the Transportation Sector","Thousand Barrels per Day"
"AVACPUS","196413","127.208","1","Aviation Gasoline Consumed by the Transportation Sector","Thousand Barrels per Day"
"AVACPUS","196513","120.266","1","Aviation Gasoline Consumed by the Transportation Sector","Thousand Barrels per Day"
"AVACPUS","196613","105.34","1","Aviation Gasoline Consumed by the Transportation Sector","Thousand Barrels per Day"
"AVACPUS","196713","90.148","1","Aviation Gasoline Consumed by the Transportation Sector","Thousand Barrels per Day"
"AVACPUS","196813","83.672","1","Aviation Gasoline Consumed by the Transportation Sector","Thousand Barrels per Day"
"AVACPUS","196913","70.003","1","Aviation Gasoline Consumed by the Transportation Sector","Thousand Barrels per Day"
"AVACPUS","197013","54.529","1","Aviation Gasoline Consumed by the Transportation Sector","Thousand Barrels per Day"
"AVACPUS","197113","49.019","1","Aviation Gasoline Consumed by the Transportation Sector","Thousand Barrels per Day"
"AVACPUS","197213","46.243","1","Aviation Gasoline Consumed by the Transportation Sector","Thousand Barrels per Day"
"AVACPUS","197301","39.516","1","Aviation Gasoline Consumed by the Transportation Sector","Thousand Barrels per Day"
"AVACPUS","197302","44.143","1","Aviation Gasoline Consumed by the Transportation Sector","Thousand Barrels per Day"
"AVACPUS","197303","42.419","1","Aviation Gasoline Consumed by the Transportation Sector","Thousand Barrels per Day"
"AVACPUS","197304","42.567","1","Aviation Gasoline Consumed by the Transportation Sector","Thousand Barrels per Day"
"AVACPUS","197305","50.71","1","Aviation Gasoline Consumed by the Transportation Sector","Thousand Barrels per Day"
"AVACPUS","197306","44.967","1","Aviation Gasoline Consumed by the Transportation Sector","Thousand Barrels per Day"
"AVACPUS","197307","38.774","1","Aviation Gasoline Consumed by the Transportation Sector","Thousand Barrels per Day"
"AVACPUS","197308","61.71","1","Aviation Gasoline Consumed by the Transportation Sector","Thousand Barrels per Day"
"AVACPUS","197309","44.133","1","Aviation Gasoline Consumed by the Transportation Sector","Thousand Barrels per Day"
"AVACPUS","197310","50.806","1","Aviation Gasoline Consumed by the Transportation Sector","Thousand Barrels per Day"
"AVACPUS","197311","45.367","1","Aviation Gasoline Consumed by the Transportation Sector","Thousand Barrels per Day"
"AVACPUS","197312","38.129","1","Aviation Gasoline Consumed by the Transportation Sector","Thousand Barrels per Day"
"AVACPUS","197313","45.29","1","Aviation Gasoline Consumed by the Transportation Sector","Thousand Barrels per Day"
"AVACPUS","197401","40.806","1","Aviation Gasoline Consumed by the Transportation Sector","Thousand Barrels per Day"
"AVACPUS","197402","31.071","1","Aviation Gasoline Consumed by the Transportation Sector","Thousand Barrels per Day"
"AVACPUS","197403","53.387","1","Aviation Gasoline Consumed by the Transportation Sector","Thousand Barrels per Day"
"AVACPUS","197404","42.533","1","Aviation Gasoline Consumed by the Transportation Sector","Thousand Barrels per Day"
"AVACPUS","197405","42.742","1","Aviation Gasoline Consumed by the Transportation Sector","Thousand Barrels per Day"
"AVACPUS","197406","50.367","1","Aviation Gasoline Consumed by the Transportation Sector","Thousand Barrels per Day"
"AVACPUS","197407","44.29","1","Aviation Gasoline Consumed by the Transportation Sector","Thousand Barrels per Day"
"AVACPUS","197408","59.194","1","Aviation Gasoline Consumed by the Transportation Sector","Thousand Barrels per Day"
"AVACPUS","197409","44.7","1","Aviation Gasoline Consumed by the Transportation Sector","Thousand Barrels per Day"
"AVACPUS","197410","51.452","1","Aviation Gasoline Consumed by the Transportation Sector","Thousand Barrels per Day"
"AVACPUS","197411","39.067","1","Aviation Gasoline Consumed by the Transportation Sector","Thousand Barrels per Day"
"AVACPUS","197412","32.161","1","Aviation Gasoline Consumed by the Transportation Sector","Thousand Barrels per Day"
"AVACPUS","197413","44.425","1","Aviation Gasoline Consumed by the Transportation Sector","Thousand Barrels per Day"
"AVACPUS","197501","31.548","1","Aviation Gasoline Consumed by the Transportation Sector","Thousand Barrels per Day"
"AVACPUS","197502","37.357","1","Aviation Gasoline Consumed by the Transportation Sector","Thousand Barrels per Day"
"AVACPUS","197503","33.452","1","Aviation Gasoline Consumed by the Transportation Sector","Thousand Barrels per Day"
"AVACPUS","197504","39.2","1","Aviation Gasoline Consumed by the Transportation Sector","Thousand Barrels per Day"
"AVACPUS","197505","36","1","Aviation Gasoline Consumed by the Transportation Sector","Thousand Barrels per Day"
"AVACPUS","197506","40.433","1","Aviation Gasoline Consumed by the Transportation Sector","Thousand Barrels per Day"
"AVACPUS","197507","46.548","1","Aviation Gasoline Consumed by the Transportation Sector","Thousand Barrels per Day"
"AVACPUS","197508","43.548","1","Aviation Gasoline Consumed by the Transportation Sector","Thousand Barrels per Day"
"AVACPUS","197509","45.5","1","Aviation Gasoline Consumed by the Transportation Sector","Thousand Barrels per Day"
"AVACPUS","197510","43.516","1","Aviation Gasoline Consumed by the Transportation Sector","Thousand Barrels per Day"
"AVACPUS","197511","35.7","1","Aviation Gasoline Consumed by the Transportation Sector","Thousand Barrels per Day"
"AVACPUS","197512","29.774","1","Aviation Gasoline Consumed by the Transportation Sector","Thousand Barrels per Day"
"AVACPUS","197513","38.54","1","Aviation Gasoline Consumed by the Transportation Sector","Thousand Barrels per Day"
"AVACPUS","197601","27.839","1","Aviation Gasoline Consumed by the Transportation Sector","Thousand Barrels per Day"
"AVACPUS","197602","28.862","1","Aviation Gasoline Consumed by the Transportation Sector","Thousand Barrels per Day"
"AVACPUS","197603","33.903","1","Aviation Gasoline Consumed by the Transportation Sector","Thousand Barrels per Day"
"AVACPUS","197604","37","1","Aviation Gasoline Consumed by the Transportation Sector","Thousand Barrels per Day"
"AVACPUS","197605","35.097","1","Aviation Gasoline Consumed by the Transportation Sector","Thousand Barrels per Day"
"AVACPUS","197606","49.967","1","Aviation Gasoline Consumed by the Transportation Sector","Thousand Barrels per Day"
"AVACPUS","197607","39.226","1","Aviation Gasoline Consumed by the Transportation Sector","Thousand Barrels per Day"
"AVACPUS","197608","47.452","1","Aviation Gasoline Consumed by the Transportation Sector","Thousand Barrels per Day"
